Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
12-10-15,116.040001,116.940002,115.510002,116.169998,29104200,113.150995,113.4249,116.9641670,120.5034340,Increasing
12-11-15,115.190002,115.389999,112.849998,113.18,46886200,110.238701,113.0688540,116.8513330,120.6338120,Decreasing
12-14-15,112.18,112.68,109.790001,112.480003,64318700,109.556895,112.6053240,116.7641670,120.9230090,Increasing
12-15-15,111.940002,112.800003,110.349998,110.489998,53323100,107.618605,112.1077590,116.6678340,121.2279080,Decreasing
12-16-15,111.07,111.989998,108.800003,111.339996,56238500,108.446514,111.3660240,116.5023330,121.6386430,Increasing
12-17-15,112.019997,112.25,108.980003,108.980003,44772800,106.147852,110.3201150,116.1678340,122.0155520,Decreasing
12-18-15,108.910004,109.519997,105.809998,106.029999,96453300,103.274512,108.6549710,115.6023330,122.5496950,Decreasing
12-21-15,107.279999,107.370003,105.57,107.330002,47590600,104.540731,107.258165,114.9723340,122.686502,Increasing
12-22-15,107.400002,107.720001,106.449997,107.230003,32789400,104.443331,106.1462310,114.4153340,122.6844370,Decreasing
12-23-15,107.269997,108.849998,107.199997,108.610001,32657400,105.787465,105.4331630,113.9038340,122.3745040,Increasing
12-24-15,109,109,107.949997,108.029999,13570400,105.222536,104.8606680,113.4005000,121.9403320,Decreasing
12-28-15,107.589996,107.690002,106.18,106.82,26704200,104.043982,104.1277980,112.8483330,121.5688680,Decreasing
12-29-15,106.959999,109.43,106.860001,108.739998,30931200,105.914084,103.8135820,112.3411670,120.8687510,Increasing
12-30-15,108.580002,108.699997,107.18,107.32,25213800,104.530989,103.4598560,111.8443330,120.2288110,Decreasing
12-31-15,107.010002,107.029999,104.82,105.260002,40635300,102.524526,102.8238660,111.2883330,119.7528010,Decreasing
01-04-16,102.610001,105.370003,102,105.349998,67649400,102.612183,101.9580430,110.7301670,119.5022910,Increasing
01-05-16,105.75,105.849998,102.410004,102.709999,55791000,100.040792,101.3646130,110.0231670,118.6817210,Decreasing
01-06-16,100.559998,102.370003,99.870003,100.699997,68457400,98.083025,100.5769810,109.1396670,117.7023530,Increasing
01-07-16,98.68,100.129997,96.43,96.449997,81094400,93.943473,99.17277300,108.1283330,117.0838940,Decreasing
